codepoint,imagepath,rawcode,desc
U+0964,image/0964.jpg,।,DEVNAGARI DANDA (DANRI)
U+0965,image/0965.jpg,॥,DEBNAGARI DOUBLE DANDA (DANRI)
U+0981,image/0981.jpg, ঁ,SIGN CHANDRABINDU
U+0982,image/0982.jpg, ং,SIGN ANUSWARA
U+0983,image/0983.jpg, ঃ,SIGN VISARGA
U+0985,image/0985.jpg,অ,BENGALI LETTER A
U+0986,image/0986.jpg,আ,BENGALI LETTER AA
U+0987,image/0987.jpg,ই,BENGALI LETTER I
U+0988,image/0988.jpg,ঈ,BENGALI LETTER II
U+0989,image/0989.jpg,উ,BENGALI LETTER U
U+098A,image/098A.jpg,ঊ,BENGALI LETTER UU
U+098B,image/098B.jpg,ঋ,BENGALI LETTER VOCALICR
U+098C,image/098C.jpg,ঌ,BENGALI LETTER VOCALICL
U+098F,image/098F.jpg,এ,BENGALI LETTER E
U+0990,image/0990.jpg,ঐ,BENGALI LETTER AI
U+0993,image/0993.jpg,ও,BENGALI LETTER O
U+0994,image/0994.jpg,ঔ,BENGALI LETTER AU
U+0995,image/0995.jpg,ক,BENGALI LETTER KA
U+0996,image/0996.jpg,খ,BENGALI LETTER KHA
U+0997,image/0997.jpg,গ,BENGALI LETTER GA
U+0998,image/0998.jpg,ঘ,BENGALI LETTER GHA
U+0999,image/0999.jpg,ঙ,BENGALI LETTER NGA
U+099A,image/099A.jpg,চ,BENGALI LETTER CA
U+099B,image/099B.jpg,ছ,BENGALI LETTER CHA
U+099C,image/099C.jpg,জ,BENGALI LETTER JA
U+099D,image/099D.jpg,ঝ,BENGALI LETTER JHA
U+099E,image/099E.jpg,ঞ,BENGALI LETTER NYA
U+099F,image/099F.jpg,ট,BENGALI LETTER TTA
U+09A0,image/09A0.jpg,ঠ,BENGALI LETTER TTHA
U+09A1,image/09A1.jpg,ড,BENGALI LETTER DDA
U+09A2,image/09A2.jpg,ঢ,BENGALI LETTER DDHA
U+09A3,image/09A3.jpg,ণ,BENGALI LETTER NNA
U+09A4,image/09A4.jpg,ত,BENGALI LETTER TA
U+09A5,image/09A5.jpg,থ,BENGALI LETTER THA
U+09A6,image/09A6.jpg,দ,BENGALI LETTER DA
U+09A7,image/09A7.jpg,ধ,BENGALI LETTER DHA
U+09A8,image/09A8.jpg,ন,BENGALI LETTER NA
U+09AA,image/09AA.jpg,প,BENGALI LETTER PA
U+09AB,image/09AB.jpg,ফ,BENGALI LETTER PHA
U+09AC,image/09AC.jpg,ব,BENGALI LETTER BA
U+09AD,image/09AD.jpg,ভ,BENGALI LETTER BHA
U+09AE,image/09AE.jpg,ম,BENGALI LETTER MA
U+09AF,image/09AF.jpg,য,BENGALI LETTER YA
U+09B0,image/09B0.jpg,র,BENGALI LETTER RA
U+09B2,image/09B2.jpg,ল,BENGALI LETTER LA
U+09B6,image/09B6.jpg,শ,BENGALI LETTER SHA
U+09B7,image/09B7.jpg,ষ,BENGALI LETTER SSA
U+09B8,image/09B8.jpg,স,BENGALI LETTER SA
U+09B9,image/09B9.jpg,হ,BENGALI LETTER HA
U+09BC,image/09BC.jpg, ়,SIGN NUKTA
U+09BE,image/09BE.jpg, া,BENGALI VOWELS SIGN AA
U+09BF,image/09BF.jpg, ি,BENGALI VOWELS SIGN I
U+09C0,image/09C0.jpg, ী,BENGALI VOWELS SIGN II
U+09C1,image/09C1.jpg, ু,BENGALI VOWELS SIGN U
U+09C2,image/09C2.jpg, ূ,BENGALI VOWELS SIGN UU
U+09C3,image/09C3.jpg, ৃ,BENGALI VOWELS SIGN VOCALICR
U+09C7,image/09C7.jpg, ে,BENGALI VOWELS SIGN E (Stands to the left of the consonant)
U+09C8,image/09C8.jpg, ৈ,BENGALI VOWELS SIGN AI (Stands to the left of the consonant)
U+09CB,image/09CB.jpg, ো,BENGALI VOWELS SIGN O
U+09CC,image/09CC.jpg, ৌ,BENGALI VOWELS SIGN AU
U+09CD,image/09CD.jpg, ্,SIGN VIRAMA (HALANT)
U+09CE,image/09CE.jpg,ৎ,BENGALI LETTER KHANDATA
U+09DC,image/09DC.jpg,ড়,BENGALI LETTER RRA
U+09DD,image/09DD.jpg,ঢ়,BENGALI LETTER RHA
U+09DF,image/09DF.jpg,য়,BENGALI LETTER YYA
U+09E6,image/09E6.jpg,০,BENGALI DIGIT 0
U+09E7,image/09E7.jpg,১,BENGALI DIGIT 1
U+09E8,image/09E8.jpg,২,BENGALI DIGIT 2
U+09E9,image/09E9.jpg,৩,BENGALI DIGIT 3
U+09EA,image/09EA.jpg,৪,BENGALI DIGIT 4
U+09EB,image/09EB.jpg,৫,BENGALI DIGIT 5
U+09EC,image/09EC.jpg,৬,BENGALI DIGIT 6
U+09ED,image/09ED.jpg,৭,BENGALI DIGIT 7
U+09EE,image/09EE.jpg,৮,BENGALI DIGIT 8
U+09EF,image/09EF.jpg,৯,BENGALI DIGIT 9
U+09FA,image/09FA.jpg,৺,SIGN ISSHAR
U+09FB,image/09FB.jpg,৻,BENGALI GANDA MARK
U+20B9,image/20B9.jpg,₹,India Rupee Sign
U+0995 U+09CD U+0995,image/0995-09CD-0995.jpg,ক্ক,KA + HALANT + KA
U+0995 U+09CD U+099F,image/0995-09CD-099F.jpg,ক্ট, KA + HALANT + TTA
U+0995 U+09CD U+099F U+09CD U+09B0,image/0995-09CD-099F-09CD-09B0.jpg,ক্ট্র,KA + HALANT + TTA + HALANT + RA
U+0995 U+09CD U+09A4,image/0995-09CD-09A4.jpg,ক্ত,KA + HALANT + TA
U+0995 U+09CD U+09A8,image/0995-09CD-09A8.jpg,ক্ন,KA + HALANT + NA
U+0995 U+09CD U+09AC,image/0995-09CD-09AC.jpg,ক্ব,KA + HALANT + BA
U+0995 U+09CD U+09AE,image/0995-09CD-09AE.jpg,ক্ম,KA + HALANT + MA
U+0995 U+09CD U+09AF,image/0995-09CD-09AF.jpg,ক্য,KA + HALANT + YA
U+0995 U+09CD U+09B0,image/0995-09CD-09B0.jpg,ক্র,KA + HALANT + RA
U+0995 U+09CD U+09B2,image/0995-09CD-09B2.jpg,ক্ল,KA + HALANT + LA
U+0995 U+09CD U+09B7,image/0995-09CD-09B7.jpg,ক্ষ ,KA + HALANT + SSA
U+0995 U+09CD U+09B7 U+09CD U+09A3,image/0995-09CD-09B7-09CD-09A3.jpg,ক্ষ্ণ,KA + HALANT + SSA + HALANT + NNA
U+0995 U+09CD U+09B7 U+09CD U+09AE,image/0995-09CD-09B7-09CD-09AE.jpg,ক্ষ্ম,KA + HALANT + SSA + HALANT + MA
U+0995 U+09CD U+09B8,image/0995-09CD-09B8.jpg,ক্স,KA + HALANT + SA
U+0996 U+09CD U+09AF,image/0996-09CD-09AF.jpg,খ্য,KHA + HALANT + YA
U+0996 U+09CD U+09B0,image/0996-09CD-09B0.jpg,খ্র, KHA + HALANT + RA
U+0997 U+09CD U+0997,image/0997-09CD-0997.jpg,গ্গ,GA + HALANT + GA
U+0997 U+09CD U+09A7,image/0997-09CD-09A7.jpg,গ্ধ, GA + HALANT + DHA
U+0997 U+09CD U+09A8,image/0997-09CD-09A8.jpg,গ্ন,GA + HALANT + NA
U+0997 U+09CD U+09AE,image/0997-09CD-09AE.jpg,গ্ম,GA + HALANT + MA
U+0997 U+09CD U+09AF,image/0997-09CD-09AF.jpg,গ্য,GA + HALANT + YA
U+0997 U+09CD U+09B0,image/0997-09CD-09B0.jpg,গ্র,GA + HALANT + RA
U+0997 U+09CD U+09B2,image/0997-09CD-09B2.jpg,গ্ল,GA + HALANT + LA
U+0998 U+09CD U+09A8,image/0998-09CD-09A8.jpg,ঘ্ন,GHA + HALANT + NA
U+0998 U+09CD U+09AF,image/0998-09CD-09AF.jpg,ঘ্য,GHA + HALANT + YA
U+0998 U+09CD U+09B0,image/0998-09CD-09B0.jpg,ঘ্র, GHA + HALANT + RA
U+0999 U+09CD U+0995,image/0999-09CD-0995.jpg,ঙ্ক, NGA + HALANT + KA
